cliente;proyecto;espacio en disco;tamaño de disco;region AWS
beldent;smm;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/beldent-ar-smm
adidas;camisetanacional;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/adidas-co-camisetanacional
beldent;todoenuno;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/beldent-ar-todoenuno
irsa;diadelpadre2012;0;150GB;No entry dicionary;/var/sites/tray02/projects/irsa-app-diadelpadre2012
laserenisima;queserisimosredisenio;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/laserenisima-ar-queserisimosredisenio
adidas;predator2012;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/adidas-co-predator2012
trululu;lluviadegomitas;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/trululu-co-lluviadegomitas
adidas;smm;0;150GB;No entry dicionary;/var/sites/tray02/projects/adidas-la-smm
adidas;womentab;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/adidas-ar-womentab
santander;maratonsandiego;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/santander-mx-maratonsandiego
bd;ojodeiberoamerica;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/bd-ar-ojodeiberoamerica
adidas;tabdemostratupasion;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/adidas-mx-tabdemostratupasion
santander;smm;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/santander-mx-smm
adidas;carreradenaciones;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/adidas-rg-carreradenaciones
laserenisima;microdha;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/laserenisima-ar-microdha
sap;ebillboards2012;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/sap-ar-ebillboards2012
pilara;sitio2012;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/pilara-ar-sitio2012
cuprum;todosconpellegrini;0;150GB;No entry dicionary;/var/sites/tray02/projects/2014/cuprum-cl-todosconpellegrini
adidas;camisetadorada;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/adidas-co-camisetadorada
pritty;smm;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/pritty-ar-smm
santander;streamingpaulvan;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/santander-mx-streamingpaulvan
santander;tabcopa;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/santander-ar-tabcopa
beldent;lamusica;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/beldent-ar-lamusica
santander;premioinnovacion;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/santander-mx-premioinnovacion
santander;tabtrivia;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/santander-mx-tabtrivia
apalusa;july4;0;150GB;No entry dicionary;/var/sites/tray02/projects/apalusa-us-july4
laserenisima;diamundial2013;0;150GB;US East (Northern Virginia) Region;/var/sites/tray02/projects/laserenisima-ar-diamundial2013
